a1_en_que_tipo_de_trabajo_en_plataforma_participa_principalmente,a1_1_tipo_de_trabajo_otro,a2_en_que_ano_comenzo_a_trabajar_en_esta_plataforma,a3_en_promedio_cuantas_horas_a_la_semana_dedica_a_esta_actividad,a4_esta_actividad_es_actualmente_su_principal_fuente_de_ingreso,b1_que_tipo_de_transporte_utiliza_principalmente,b2_en_promedio_cuantos_pedidos_completa_por_dia_de_trabajo,b3_como_afectaron_los_periodos_de_cuarentena_su_volumen_de_trabajo,b4_en_que_plataformas_trabaja_principalmente,b4_en_que_plataformas_trabaja_principalmente_upwork_fiverr,b4_en_que_plataformas_trabaja_principalmente_plataformas_de_redaccion_blogging,b4_en_que_plataformas_trabaja_principalmente_mercado_local,b5_sus_clientes_son_principalmente_internacionales_o_locales,b6_como_afecto_la_devaluacion_del_peso_2022_2023_sus_ingresos,b7_que_tipo_de_vehiculo_utiliza,b8_en_promedio_cuantos_viajes_completa_por_dia_de_trabajo,b9_como_afecto_el_aumento_de_la_gasolina_sus_decisiones,b10_en_que_tipo_de_plataforma_o_actividad_participa,b10_en_que_tipo_de_plataforma_o_actividad_participa_servicios_a_domicilio_limpieza_reparaciones_belleza,b10_en_que_tipo_de_plataforma_o_actividad_participa_venta_comercio_redes_sociales_marketplaces,b10_en_que_tipo_de_plataforma_o_actividad_participa_ensenanza_cuidado_tutorias_nineras_adultos_mayores,b10_en_que_tipo_de_plataforma_o_actividad_participa_otra_actividad_no_listada,b11_como_consiguio_este_trabajo_actividad,b11_como_consiguio_este_trabajo_actividad_contactos_personales_familia_amigos,b11_como_consiguio_este_trabajo_actividad_redes_sociales_instagram_facebook,b11_como_consiguio_este_trabajo_actividad_plataforma_app_especifica,b11_como_consiguio_este_trabajo_actividad_busqueda_propia_oferta_demanda_local,b12_como_recibe_los_pagos_principalmente,b13_que_porcentaje_de_sus_ingresos_totales_representa,b14_ve_esta_actividad_como_temporal_o_permanente,c1_ante_bonos_por_metas_usted,c2_si_el_pago_subiera_un_20_percent_usted,c3_si_consiguiera_un_empleo_formal_usted,d1_su_ingreso_real_comparado_con_el_inicio_es,d2_en_el_periodo_de_mayor_inflacion_usted,d3_mirando_hacia_el_futuro_planea,e1_genero,e2_edad_anos_38,e3_nivel_educativo_mas_alto_alcanzado,e4_en_que_ciudad_vive,e5_recibe_remesas_o_apoyo_familiar_regular,e2_edad_anos_42,id,uuid,submission_time,validation_status,notes,status,submitted_by,version,tags,index,horas_semanales,ingreso_principal,sector,educacion,edad,genero,ciudad,respuesta_bonos,respuesta_salario,periodo
Otro,Pequeño negocio,2022,Menos de 10 horas,"No, es un complemento",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Venta/comercio (redes sociales, marketplaces)",0,1,0,0,Búsqueda propia (oferta-demanda local),0,0,0,1,Combinación de métodos,Varía mucho (ingreso irregular),Depende de las oportunidades,Aumenta significativamente sus horas,Trabajaría muchas más horas,Reduciría sus horas,Mayor que antes,Aumentó sus horas,Dejar cuando encuentre otra cosa,Femenino,18 - 24  años,Universitario (en curso),Santo Domingo,No,NA,649603083,e15ad225-d0fe-43d1-be92-8da345ea72e3,2026-01-16T05:46:59Z,Approved,NA,submitted_via_web,NA,vMar2eobaovNLXogDnxiiB,NA,1,5,0,Otro,Universitario (en curso),18 - 24  años,Femenino,Santo Domingo,3,3,1
Freelancer Digital,NA,2019 o antes,Más de 40 horas,"Sí, es mi único ingreso",NA,NA,NA,Plataformas de redacción/blogging,0,1,0,Mayormente locales (DOP),No cobro en dólares,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No cambia sus horas,Trabajaría algunas horas más,Mantendría sus horas actuales,Mayor que antes,"Mantuvo sus horas, ganó menos",Formalizar como empresa propia,Femenino,55< años (mayor que 18 años),Universitario (graduado),Santo Domingo,No,NA,649960922,87448bef-c312-4a4a-bc4b-7381662ad3a0,2026-01-16T15:53:42Z,Approved,NA,submitted_via_web,NA,vMar2eobaovNLXogDnxiiB,NA,2,45,1,Freelancer Digital,Universitario (graduado),55< años (mayor que 18 años),Femenino,Santo Domingo,1,2,0
Freelancer Digital,NA,2024,10-20 horas,"No, es un complemento",NA,NA,NA,Upwork/Fiverr,1,0,0,Mayormente internacionales (USD/EUR),Me benefició un poco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aumenta un poco sus horas,Trabajaría algunas horas más,Reduciría sus horas,Mayor que antes,Aumentó sus horas,Reducir progresivamente,Masculino,18 - 24  años,Universitario (en curso),Santo Domingo Este,No,NA,649974981,ee865bd9-351b-430f-84d6-95106e2da6e6,2026-01-16T16:09:45Z,Approved,NA,submitted_via_web,NA,vMar2eobaovNLXogDnxiiB,NA,3,15,0,Freelancer Digital,Universitario (en curso),18 - 24  años,Masculino,Santo Domingo Este,2,2,1
Otro,Administración de propiedades,2023,Más de 40 horas,"No, es un complemento",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Servicios a domicilio (limpieza, reparaciones, belleza)",1,0,0,0,Búsqueda propia (oferta-demanda local),0,0,0,1,Transferencia bancaria,Más del 50% (ingreso principal),Permanente (es mi carrera/proyecto),No cambia sus horas,Trabajaría muchas más horas,Mantendría sus horas actuales,Mayor que antes,Aumentó sus horas,"Seguir, aumentando horas",Femenino,35-44 años,Posgrado,Santo Domingo,No,NA,649986983,a59b0f2b-11b9-49e3-9c46-8114b961dd41,2026-01-16T16:23:27Z,Approved,NA,submitted_via_web,NA,vMar2eobaovNLXogDnxiiB,NA,4,45,0,Otro,Posgrado,35-44 años,Femenino,Santo Domingo,1,3,1
Otro,Venta informal,2020,Menos de 10 horas,"No, es un ingreso ocasional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Venta/comercio (redes sociales, marketplaces)",0,1,0,0,Contactos personales (familia/amigos),1,0,0,0,Combinación de métodos,Varía mucho (ingreso irregular),Permanente (es mi carrera/proyecto),No cambia sus horas,Trabajaría algunas horas más,Reduciría sus horas,Mayor que antes,Aumentó sus horas,"Seguir, manteniendo horas",Femenino,18 - 24  años,Secundaria,Santo Domingo este,Sí,NA,649990122,91c7f092-2386-42a3-8330-3a4c0e83dbfe,2026-01-16T16:26:49Z,Approved,NA,submitted_via_web,NA,vMar2eobaovNLXogDnxiiB,NA,5,5,0,Otro,Secundaria,18 - 24  años,Femenino,Santo Domingo este,1,2,0
Otro,Búsquedas,2020,Menos de 10 horas,"No, es un complemento",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Servicios a domicilio (limpieza, reparaciones, belleza)",1,0,0,0,Contactos personales (familia/amigos),1,0,0,0,Combinación de métodos,Varía mucho (ingreso irregular),Depende de las oportunidades,Aumenta un poco sus horas,Trabajaría algunas horas más,Reduciría sus horas,Mayor que antes,Aumentó sus horas,Formalizar como empresa propia,Masculino,45-54 años,Universitario (graduado),Santo Domingo Oeste,No,NA,650017744,1ad9c91e-7358-47af-8522-3ddebcb720b7,2026-01-16T16:59:12Z,Approved,NA,submitted_via_web,NA,vMar2eobaovNLXogDnxiiB,NA,6,5,0,Otro,Universitario (graduado),45-54 años,Masculino,Santo Domingo Oeste,2,2,0
Freelancer Digital,NA,2023,10-20 horas,"No, es un ingreso ocasional",NA,NA,NA,Mercado local,0,0,1,Mayormente locales (DOP),No cobro en dólares,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aumenta un poco sus horas,Trabajaría algunas horas más,Aumentaría sus horas,Mayor que antes,Aumentó sus horas,Formalizar como empresa propia,Masculino,18 - 24  años,Universitario (en curso),Distrito Nacional,No,NA,650039658,b3fe5f63-0bd4-49b3-96e1-40b098a900a6,2026-01-16T17:33:23Z,Approved,NA,submitted_via_web,NA,vMar2eobaovNLXogDnxiiB,NA,7,15,0,Freelancer Digital,Universitario (en curso),18 - 24  años,Masculino,Distrito Nacional,2,2,1
Freelancer Digital,NA,2019 o antes,Más de 40 horas,"Sí, es mi ingreso principal",NA,NA,NA,Mercado local,0,0,1,Mix 50/50,Me benefició un poco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aumenta un poco sus horas,Trabajaría las mismas horas,Mantendría sus horas actuales,Mayor que antes,"Mantuvo sus horas, ganó menos",Reducir progresivamente,Masculino,45-54 años,Universitario (en curso),Santo Domingo,No,NA,650047718,00991c5c-ad6e-4bb1-8223-8550db32769d,2026-01-16T17:46:25Z,Approved,NA,submitted_via_web,NA,vMar2eobaovNLXogDnxiiB,NA,8,45,1,Freelancer Digital,Universitario (en curso),45-54 años,Masculino,Santo Domingo,2,1,0
"Conductor de Plataforma (Uber, Didi, etc.)",NA,2024,Más de 40 horas,"Sí, es mi único ingreso",NA,NA,NA,NA,NA,NA,NA,NA,NA,Automóvil propio,6-10 viajes,Trabajé más horas para compensar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Disminuye sus horas,Trabajaría las mismas horas,Reduciría sus horas,Mayor que antes,Disminuyó sus horas,Reducir progresivamente,Masculino,18 - 24  años,Universitario (en curso),Santo Domingo Este,Sí,NA,650065843,4991b65b-24c1-4577-8af4-a8370fe67a27,2026-01-16T18:11:49Z,Approved,NA,submitted_via_web,NA,vMar2eobaovNLXogDnxiiB,NA,9,45,1,"Conductor de Plataforma (Uber, Didi, etc.)",Universitario (en curso),18 - 24  años,Masculino,Santo Domingo Este,0,1,1
Freelancer Digital,NA,2023,Más de 40 horas,"Sí, es mi ingreso principal",NA,NA,NA,Mercado local,0,0,1,Mayormente internacionales (USD/EUR),No noté diferencia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aumenta un poco sus horas,Trabajaría algunas horas más,Mantendría sus horas actuales,Mayor que antes,"Mantuvo sus horas, ganó menos","Seguir, aumentando horas",Masculino,18 - 24  años,Universitario (en curso),Distrito Nacional,No,NA,650066102,9bb5e24c-d885-4bad-9e5f-be034f2169b8,2026-01-16T18:12:07Z,Approved,NA,submitted_via_web,NA,vMar2eobaovNLXogDnxiiB,NA,10,45,1,Freelancer Digital,Universitario (en curso),18 - 24  años,Masculino,Distrito Nacional,2,2,1
